"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"0500000US05005","Baxter County, Arkansas","133400","6265"
"0500000US05007","Benton County, Arkansas","183400","3558"
"0500000US05009","Boone County, Arkansas","124300","6530"
"0500000US05011","Bradley County, Arkansas","89800","11931"
"0500000US05013","Calhoun County, Arkansas","70000","6026"
"0500000US05015","Carroll County, Arkansas","136900","7439"
"0500000US05017","Chicot County, Arkansas","69700","5675"
"0500000US05019","Clark County, Arkansas","111600","9711"
"0500000US05021","Clay County, Arkansas","77400","4967"
"0500000US05023","Cleburne County, Arkansas","129900","9774"
"0500000US05025","Cleveland County, Arkansas","97100","12525"
"0500000US05027","Columbia County, Arkansas","81900","9928"
"0500000US05029","Conway County, Arkansas","107600","8593"
"0500000US05031","Craighead County, Arkansas","140700","3842"
"0500000US05033","Crawford County, Arkansas","115200","4559"
"0500000US05035","Crittenden County, Arkansas","114600","6037"
"0500000US05037","Cross County, Arkansas","86100","5598"
"0500000US05039","Dallas County, Arkansas","70400","8436"
"0500000US05041","Desha County, Arkansas","70300","9067"
"0500000US05043","Drew County, Arkansas","99800","10943"
"0500000US05045","Faulkner County, Arkansas","161500","3228"
"0500000US05047","Franklin County, Arkansas","100900","8509"
"0500000US05049","Fulton County, Arkansas","86400","5686"
"0500000US05051","Garland County, Arkansas","139900","6110"
"0500000US05053","Grant County, Arkansas","124600","10525"
"0500000US05055","Greene County, Arkansas","118800","6463"
"0500000US05057","Hempstead County, Arkansas","81100","6084"
"0500000US05059","Hot Spring County, Arkansas","96700","4286"
"0500000US05061","Howard County, Arkansas","95900","5220"
"0500000US05063","Independence County, Arkansas","98900","8532"
"0500000US05065","Izard County, Arkansas","82700","4185"
"0500000US05067","Jackson County, Arkansas","66600","5073"
"0500000US05069","Jefferson County, Arkansas","83500","2957"
"0500000US05071","Johnson County, Arkansas","103500","5883"
"0500000US05073","Lafayette County, Arkansas","64600","5354"
"0500000US05075","Lawrence County, Arkansas","76800","2622"
"0500000US05077","Lee County, Arkansas","74000","5403"
"0500000US05079","Lincoln County, Arkansas","76300","4308"
"0500000US05081","Little River County, Arkansas","77900","7478"
"0500000US05083","Logan County, Arkansas","99000","5889"
