metro_code,metro_name,metro_pop,metro_apps,metro_type,variable_name,total_count,loan,denied,is_reliable,reliable_note,odds_ratio
12100,"Atlantic City-Hammonton, NJ",266105.0,1549,Metropolitan Statistical Area,Native American,4.0,4.0,0.0,False,Not enough variance in variables,0.0
12100,"Atlantic City-Hammonton, NJ",266105.0,1549,Metropolitan Statistical Area,AAPI,120.0,108.0,12.0,False,Not enough variance in variables,0.8
35004,"Nassau County-Suffolk County, NY",2840341.0,20406,Metropolitan Division,Black,999.0,869.0,130.0,True,Statistically significant disparity,1.5
35004,"Nassau County-Suffolk County, NY",2840341.0,20406,Metropolitan Division,Latino,2314.0,2039.0,275.0,True,Statistically significant disparity,1.5
35004,"Nassau County-Suffolk County, NY",2840341.0,20406,Metropolitan Division,Native American,26.0,24.0,2.0,False,Not statistically significant,1.9
35004,"Nassau County-Suffolk County, NY",2840341.0,20406,Metropolitan Division,AAPI,2842.0,2591.0,251.0,True,Doesn't meet level of disparity,1.2
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4901633.0,46075,Metropolitan Division,Black,5407.0,4887.0,520.0,True,Statistically significant disparity,2.1
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4901633.0,46075,Metropolitan Division,Latino,4205.0,3877.0,328.0,True,Statistically significant disparity,1.7
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4901633.0,46075,Metropolitan Division,Native American,117.0,109.0,8.0,False,Not statistically significant,1.7
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4901633.0,46075,Metropolitan Division,AAPI,6978.0,6458.0,520.0,True,Statistically significant disparity,2.0
15804,"Camden, NJ",1243605.0,8521,Metropolitan Division,Black,599.0,518.0,81.0,True,Statistically significant disparity,2.2
15804,"Camden, NJ",1243605.0,8521,Metropolitan Division,Latino,523.0,466.0,57.0,True,Statistically significant disparity,1.5
15804,"Camden, NJ",1243605.0,8521,Metropolitan Division,Native American,5.0,4.0,1.0,False,Not statistically significant,1.2
15804,"Camden, NJ",1243605.0,8521,Metropolitan Division,AAPI,606.0,553.0,53.0,False,Not statistically significant,1.3
33874,"Montgomery County-Bucks County-Chester County, PA",1970189.0,18507,Metropolitan Division,Black,530.0,483.0,47.0,True,Statistically significant disparity,1.7
33874,"Montgomery County-Bucks County-Chester County, PA",1970189.0,18507,Metropolitan Division,Latino,547.0,503.0,44.0,True,Statistically significant disparity,1.7
33874,"Montgomery County-Bucks County-Chester County, PA",1970189.0,18507,Metropolitan Division,Native American,21.0,20.0,1.0,False,Not statistically significant,0.7
