"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"310M500US25420","Harrisburg-Carlisle, PA Metro Area","571013","*****","534802","*****","438775","218","59309","828","649","193","22806","654","29","30","730","295","12504","1118","377","313","12127","1069","36211","*****","17854","1734","4839","847","524","192","60","46","112","90","9492","2016","3330","624","1763","475","1567","440"
"310M500US25460","Harrison, AR Micro Area","45143","*****","44179","32","42378","23","127","66","408","177","190","109","92","113","1","2","983","187","15","23","968","187","964","32","878","69","0","25","1","2","0","25","0","25","15","16","70","68","32","32","38","55"
"310M500US25500","Harrisonburg, VA Metro Area","133557","*****","117472","*****","106430","84","5322","349","230","132","2597","279","54","48","279","157","2560","404","32","37","2528","406","16085","*****","11059","980","1052","414","121","127","54","43","11","19","1207","435","2581","906","638","347","1943","857"
"310M500US25540","Hartford-East Hartford-Middletown, CT Metro Area","1207677","*****","1028171","*****","810266","636","128114","1194","1698","305","59876","925","183","141","3715","775","24319","1470","1679","495","22640","1397","179506","*****","97511","2795","8928","1005","1665","513","246","107","110","117","56557","2744","14489","1586","6234","960","8255","1169"
"310M500US25580","Hastings, NE Micro Area","31587","*****","28333","*****","27129","16","188","75","89","70","394","65","6","10","5","8","522","125","9","14","513","122","3254","*****","2251","379","15","17","31","48","11","21","0","21","844","345","102","98","75","91","27","29"
"310M500US25620","Hattiesburg, MS Metro Area","168177","*****","163659","*****","109511","26","49716","479","185","101","1456","197","0","30","14","13","2777","466","33","41","2744","465","4518","*****","3882","269","6","9","62","76","0","30","30","31","393","223","145","104","45","45","100","87"
"310M500US25700","Hays, KS Micro Area","28775","*****","27127","*****","25729","27","312","89","69","42","324","203","96","82","27","27","570","191","0","19","570","191","1648","*****","1054","298","0","19","0","19","0","19","18","27","167","126","409","276","284","261","125","190"
"310M500US25720","Heber, UT Micro Area","72811","*****","63874","*****","61151","56","371","92","174","106","1092","194","18","24","53","56","1015","227","1","3","1014","227","8937","*****","7017","539","42","69","13","19","64","93","0","27","1220","458","581","344","300","305","281","184"
"310M500US25740","Helena, MT Micro Area","79722","*****","77162","*****","72995","36","225","90","1236","234","454","73","47","30","17","22","2188","272","20","30","2168","266","2560","*****","1793","237","3","6","55","80","16","21","0","24","447","213","246","117","36","37","210","108"
"310M500US25760","Helena-West Helena, AR Micro Area","18606","*****","18256","*****","6420","7","11750","66","1","3","0","19","0","19","4","7","81","66","14","23","67","66","350","*****","299","60","0","19","6","10","0","19","0","19","35","50","10","17","10","17","0","19"
"310M500US25780","Henderson, NC Micro Area","44479","*****","41013","*****","17620","39","22103","284","132","42","319","42","25","38","0","26","814","297","43","73","771","291","3466","*****","1341","488","63","49","519","341","0","26","0","26","1286","532","257","159","246","159","11","20"
"310M500US25820","Hereford, TX Micro Area","18736","*****","5090","*****","4626","25","119","72","70","55","118","90","18","28","19","25","120","89","0","21","120","89","13646","*****","12173","380","72","75","53","57","0","21","0","21","784","268","564","277","86","71","478","280"
"310M500US25840","Hermiston-Pendleton, OR Micro Area","88432","*****","63641","*****","57389","259","747","133","1972","219","839","143","257","98","240","260","2197","325","32","26","2165","324","24791","*****","18890","902","23","24","644","304","31","32","0","29","3950","756","1253","351","399","190","854","291"
"310M500US25860","Hickory-Lenoir-Morganton, NC Metro Area","366678","*****","339692","*****","296217","173","24038","789","1157","166","10842","202","150","112","859","470","6429","774","176","164","6253","768","26986","*****","9735","1035","287","146","562","380","69","56","26","38","15414","1097","893","216","601","216","292","145"
